gene_id	gene_name	GLL50_V_S38	GLL50_D_S13	GLL53_V_S52	GLL53_D_S42	GLL56_V_S7	GLL56_D_S25	GLL59_V_S72	GLL59_D_S19
ENSG00000000003	TSPAN6	2.88309084052668	3.039736114776436	3.0450755981921738	2.881714807511994	2.898343511316957	3.0703198356198933	2.784301470907441	3.0074140301280066
ENSG00000000419	DPM1	5.302874947203913	5.2442110573312295	5.2747027987470565	5.134207300089285	5.189132658285272	5.364893672795015	5.276213077998168	5.2073095660886795
ENSG00000000457	SCYL3	5.439282692344621	5.16219805050523	5.2203324092354	4.911555699360836	5.464217119428489	5.059739902828832	5.243068197178482	5.0721587870799505
ENSG00000000460	C1orf112	3.6108121259140127	3.5758778804471962	4.030033494789061	3.978841233482628	3.7929579687599775	3.8033830002477194	3.7752559712016067	3.8152165094266204
ENSG00000001036	FUCA2	4.244368714115729	4.4037491059062255	4.5227538603542445	4.541095440787024	4.651518911363171	4.627158061307251	4.5070197112316706	4.518617314205437
ENSG00000001084	GCLC	4.486067750758384	4.414575179088235	4.331890607576472	4.239896866402723	4.538484507021556	4.580930198436721	4.555593610131873	4.6635926349811125
ENSG00000001167	NFYA	3.572755614683918	3.5982935994739207	3.6465765107720385	3.6859402795042837	3.7363068305739078	3.5564316840550085	3.789417243211755	4.092470674049539
ENSG00000001460	STPG1	2.8310458320167844	2.863051060992908	2.8958147882541674	3.126614777313388	3.005701905283588	2.997301538019445	2.7746898927880994	3.003228469226759
ENSG00000001461	NIPAL3	6.429114004527589	6.275876353922529	6.292105910059576	6.353588577724114	6.268968401048669	6.249414404198369	6.332477228252621	6.35235526192054
ENSG00000001497	LAS1L	5.037423565171703	5.174270868310701	4.7664781324622565	5.046184021162924	4.966261903508253	4.9475856224979795	4.815743943544875	4.9523262868690345
ENSG00000001561	ENPP4	5.196006923034192	4.911555699360836	5.058998591324741	5.031612975753712	4.984577879537211	5.04506631924808	4.925755126318445	4.640677658482002
ENSG00000001617	SEMA3F	6.513072302576926	6.295682692224477	6.513072302576926	6.3407928577822705	6.437431498075842	6.3180669192021295	6.6623414998734365	6.444531574844322
ENSG00000001629	ANKIB1	5.793219256196735	5.874484470754507	5.785674731808985	5.800665996848428	5.751236541044267	5.742302472554413	5.815640633275361	5.771854269460963
ENSG00000001630	CYP51A1	2.631115633977945	2.70288384722706	2.398016752057399	2.570082220846822	2.4326871730413755	2.6455053021391706	2.5808937528113605	2.7101004347836124
ENSG00000001631	KRIT1	2.822857851166238	2.809606485111158	2.6816138874217703	2.8191760469094715	2.7780124467644165	2.7488080865157913	2.9076818897669305	2.7977663551934153
ENSG00000002016	RAD52	3.810858328978292	3.642537405257289	3.767766031965894	3.776520748468221	3.5982935994739207	3.6261324934614847	3.6230405769958063	3.4448248756549757
ENSG00000002330	BAD	4.075663313764514	4.08714835632847	4.244752439674172	4.1968625287984285	4.22250752925504	4.12368010504194	4.360000576813232	4.153417663411383
ENSG00000002549	LAP3	6.276454425239548	6.121244141122634	6.201949072038175	6.212444756828889	6.236979745870934	6.197007084713	5.9629753379734325	5.976044207567028
ENSG00000002586	CD99	5.391444346865012	5.505497671244687	5.483189525924731	5.383702513835907	5.437287209604339	5.460477626238933	5.400024404408979	5.432090341616242
ENSG00000002834	LASP1	7.14285264865963	6.931706411118032	7.124544306991746	6.899412036472024	7.117359451573877	6.963835141595967	7.117359451573877	6.737468603053715
ENSG00000002919	SNX11	4.387414877630442	4.5892479959878685	4.511894422337451	4.648623776560437	4.518617314205437	4.4590583627401	4.451922939873233	4.826951920047666
ENSG00000003056	M6PR	7.235703930693381	7.221568933890739	7.304408808947242	7.318686908421263	7.233201375601912	7.195012919783441	7.13359117356654	7.192653738106813
ENSG00000003096	KLHL13	4.332328301264387	4.098267973305534	4.139503282946913	4.00346545124432	3.977619865590902	3.754803545993581	3.711817564743563	3.7307942212857648
ENSG00000003147	ICA1	6.008895330663144	6.046111316669102	6.014954965456399	5.932651013004394	6.038949904123555	5.93794573461267	5.955788782748114	6.006394316144297
ENSG00000003249	DBNDD1	5.497822047293788	5.459671719648193	5.486457666641218	5.543212201640604	5.510015081710302	5.411799148774696	5.415855836233396	5.374786842136503
ENSG00000003393	ALS2	4.580174096969416	4.852465332566269	4.600000605905302	4.625001659286128	4.59926698972159	4.7269441382597766	4.722590294620475	4.622447227664289
ENSG00000003402	CFLAR	5.7874269364341195	5.912815028104196	5.836090700764764	5.903743681962638	5.8187051425863245	5.947664195113441	5.946581004882971	6.114578638492856
ENSG00000003509	NDUFAF7	3.760482978354555	3.7402988537759336	3.648920801186103	3.6522022371077023	3.864760956939488	3.6320706913749827	3.775669777686355	3.2349974877677496
ENSG00000003756	RBM5	6.233098735122825	6.131801702432536	6.172762868436884	6.12976892234007	6.18376874508931	6.018416576078579	6.233667109704782	5.920176069238957
ENSG00000003987	MTMR7	0.8261419434434858	0.3955122052079263	-0.5146480467614216	0.2875228753609269	0.2875228753609269	0.2875228753609269	0.8261419434434858	0.7221466141732011
ENSG00000003989	SLC7A2	6.716944461930234	6.784336416440119	6.81005839490409	6.922231530201373	6.798095426924615	6.87573853655721	6.657162122486451	6.6506958354806756
ENSG00000004059	ARF5	5.8082259876434446	5.851057166593055	5.821403403409329	5.771402957888641	5.771402957888641	5.885914394795494	5.686697905690355	5.690686592893968
ENSG00000004139	SARM1	2.5714089619272977	2.828571105670178	2.3559906008899847	2.4877730690124484	2.8171458320885203	2.8611777729879044	2.8868272588605386	2.8611777729879044
ENSG00000004142	POLDIP2	6.544559533159237	6.486283306718532	6.581883878789512	6.544559533159237	6.359224303626937	6.477753336209973	6.401029942397502	6.44326461676331
ENSG00000004399	PLXND1	4.728038484634839	4.923944646179073	4.615482531017287	4.780355959281511	4.6374174398279395	4.575607221663075	4.877350865855435	4.922399593391676
