gene_id	gene_name	GLL63_V_S8	GLL63_D_S15	GLL65_V_S69	GLL65_D_S48	GLL67_V_S74	GLL67_D_S22	GLL69_V_S39	GLL69_D_S11
ENSG00000000003	TSPAN6	4.375586150770546	4.331815261258682	4.422118401520558	4.381587702173108	4.269012598673359	4.221910222784553	4.284707490612107	4.439975706888174
ENSG00000000419	DPM1	5.553323684403636	5.593065495767832	5.604222941711099	5.627137744512682	5.501126138085265	5.508218158556064	5.455632147142708	5.453614819498759
ENSG00000000457	SCYL3	4.467130609116408	4.378975275029156	4.553697009188893	4.343814188037261	4.314800578168915	4.2723165134916945	4.433639188153588	4.43733050790535
ENSG00000000460	C1orf112	3.9473952757217923	3.959282330459404	4.178487082518999	4.041144052284518	4.050759473914125	3.9208721443319425	4.220395365252032	4.238994016849165
ENSG00000001036	FUCA2	4.442508802732865	4.526698920870629	4.500982937702694	4.5045713803057845	4.3767068275493	4.561533949895	4.507861512640571	4.599048963510717
ENSG00000001084	GCLC	4.8911961062049425	4.995038307381742	4.93478203342289	5.079229032354052	5.0244316672023075	5.015877310962346	5.135186801559759	5.1750119606909
ENSG00000001167	NFYA	4.09803646313157	3.8889725628242484	4.027535041898579	4.012386180609655	4.177686101581091	4.144430346459551	4.131771684145697	4.221145496344548
ENSG00000001460	STPG1	3.0835261627148443	2.7430677942549693	3.061912701353841	3.017443544731997	3.0889214196883334	3.141081060179806	3.1296659923347363	2.8117963358957816
ENSG00000001461	NIPAL3	6.362466803619451	6.3403371633041266	6.66545919277219	6.476618592577896	6.595773723479027	6.563881010243087	6.344281225158866	6.334920391364513
ENSG00000001497	LAS1L	4.176069895809593	3.8050141115763743	3.9386270541927635	4.047354859185868	4.002798135792526	4.096476428096495	4.081389632210001	4.431863556079723
ENSG00000001561	ENPP4	4.770506203673014	4.721968001353461	4.718853214210858	4.736787808470009	4.53036807836463	4.800060039661152	4.772915517046353	4.799404770234177
ENSG00000001617	SEMA3F	5.433198374935076	5.222361972309496	5.840498224355141	5.656181940242262	5.6491702049284624	5.619880875757705	5.7764543977618334	5.828317776979938
ENSG00000001629	ANKIB1	5.455632147142708	5.4840086364518426	5.582226539718413	5.5477877890519185	5.523102289950501	5.502749111947871	5.4645344515254095	5.513534485906668
ENSG00000001630	CYP51A1	2.1983591478889206	2.243409800438742	2.282532001694644	2.182634969968486	1.732416803389777	0.9870683137037828	1.3303985167258472	2.22060219655069
ENSG00000001631	KRIT1	2.643787368472862	2.7485173166430346	2.814810871922645	2.5758719238179344	2.793181853212672	2.696649035596433	2.8913588848930836	2.6367940647380914
ENSG00000002016	RAD52	3.6238330061297654	3.644623129589489	3.6029281560206328	3.5281333907304067	3.501519872837763	3.75140456859553	3.8453062154662936	3.380397586205836
ENSG00000002330	BAD	5.2580411451786455	5.450387562732454	5.468276703285662	5.569100635644136	5.411961936507751	5.415587015753776	5.235310728864642	5.386740494798103
ENSG00000002549	LAP3	4.790690736665686	4.758114250243308	4.540779363679934	4.791036783455283	4.816705678500723	4.559684932738834	4.831820489957349	4.790690736665686
ENSG00000002586	CD99	5.605909990151065	5.437634754485829	5.497461301123081	5.461356728022534	5.604660864753255	5.449622850071724	5.647842568605375	5.63847174147719
ENSG00000002834	LASP1	7.907115149953961	7.865678670500839	7.9403559427650645	7.663676307190352	7.811341121470694	7.663676307190352	7.978400458508398	7.6786092881374355
ENSG00000002919	SNX11	4.1340757823256995	4.270165264793151	4.031073679489502	3.9188904840467993	4.045781029020766	3.8432439574883865	3.664094380334876	3.757661529287301
ENSG00000003056	M6PR	5.056455572029841	5.057846168811591	5.066544200288403	4.8640397451387	5.144676452735359	5.124230334349373	5.304531067490463	5.247961634150958
ENSG00000003096	KLHL13	3.128663248181668	2.925687961467353	3.484798327470659	3.2390596358167394	3.2651538177839674	3.038831050032801	3.1717574006391325	3.1635482278398364
ENSG00000003147	ICA1	5.357567186041932	5.449622850071724	5.448790403536624	5.515980004495298	5.457658991916935	5.572878081504414	5.445985616952852	5.596000616932782
ENSG00000003249	DBNDD1	4.9578840488728435	4.782375997343987	4.927447219875327	5.018653642808998	4.770830752618306	4.849613221529443	5.083746166486752	5.208529054204534
ENSG00000003393	ALS2	4.7398496258428	4.714647927768899	4.814683099179752	4.733960838042618	4.777430451875322	4.743710993482084	4.824322149301841	4.676140760210252
ENSG00000003402	CFLAR	5.158852353733161	5.184044369237156	5.1162138939165684	5.227127089563737	5.273529011592881	5.413566874586375	5.060967302571021	5.147609764007362
ENSG00000003509	NDUFAF7	3.379079498022391	3.470494633201322	3.5620764092921977	3.3630744270826916	3.2766016169129313	3.444346411871006	3.52309531460281	3.4916224585527296
ENSG00000003756	RBM5	5.675289303003071	5.810437247167309	5.942343694820803	5.9029884545045626	6.062024529882022	6.018996490698232	5.838568921496378	5.95299145333955
ENSG00000003989	SLC7A2	0.6524969158618106	-0.3794282118014989	1.0446072946611742	0.20910623121047767	0.3383805075283508	1.1751615798671917	1.919084878360441	2.2020973759954536
ENSG00000004059	ARF5	5.713875710228983	5.795562843749026	5.622063802518934	5.489305046892548	5.63516180601829	5.504055552218844	5.602482715588852	5.679478365455828
ENSG00000004142	POLDIP2	6.7733978964836465	6.793148749370054	6.820178801014487	6.70190101721634	6.820178801014487	6.713439076850778	6.870420520740387	6.785527755501224
ENSG00000004399	PLXND1	5.067211287067322	5.16779475039222	5.335963028965702	5.33364116790324	5.473651276559501	5.299044085245938	4.974658475827564	5.293037296117542
